PID,seed_id,zoo_id,zoo_type,test_id,test_type,response,prims
74,1,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[3, 7, 4, 6]"
66,4,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[0, 3, 6, 4]"
69,0,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[7, 5, 4, 6]"
38,1,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[3, 7, 4, 6]"
92,4,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[0, 3, 6, 4]"
59,2,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[1, 2, 3, 5]"
42,2,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[1, 2, 3, 5]"
96,3,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[8, 0, 3, 2]"
83,3,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[8, 0, 3, 2]"
76,3,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[8, 0, 3, 2]"
65,2,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[1, 2, 3, 5]"
68,2,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[1, 2, 3, 5]"
56,3,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[8, 0, 3, 2]"
88,4,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[0, 3, 6, 4]"
54,2,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[1, 2, 3, 5]"
44,1,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[3, 7, 4, 6]"
100,3,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[8, 0, 3, 2]"
63,3,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[8, 0, 3, 2]"
72,3,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[8, 0, 3, 2]"
90,4,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[0, 3, 6, 4]"
55,4,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[0, 3, 6, 4]"
75,3,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",0,AB0+0,1,"[8, 0, 3, 2]"
64,0,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,1,"[7, 5, 4, 6]"
40,3,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,0,"[8, 0, 3, 2]"
60,1,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,0,"[3, 7, 4, 6]"
51,4,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,0,"[0, 3, 6, 4]"
47,1,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,0,"[3, 7, 4, 6]"
34,2,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,1,"[1, 2, 3, 5]"
89,4,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,1,"[0, 3, 6, 4]"
86,0,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,0,"[7, 5, 4, 6]"
67,1,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,1,"[3, 7, 4, 6]"
74,1,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,0,"[3, 7, 4, 6]"
66,4,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,0,"[0, 3, 6, 4]"
69,0,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,1,"[7, 5, 4, 6]"
38,1,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,1,"[3, 7, 4, 6]"
92,4,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,1,"[0, 3, 6, 4]"
59,2,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,1,"[1, 2, 3, 5]"
42,2,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,0,"[1, 2, 3, 5]"
96,3,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,0,"[8, 0, 3, 2]"
83,3,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,0,"[8, 0, 3, 2]"
76,3,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,1,"[8, 0, 3, 2]"
65,2,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,0,"[1, 2, 3, 5]"
68,2,11,"['AB0+0', 'AB1+90', 'AB2+270', 'AB2+0', 'AB0+90', 'AB1+0']",1,A+90,1,"[1, 2, 3, 5]"
